,SMILES,Molar mass,Functional,Basis,Multiplicity,Charge,"Temperature, K",Solvent,"ZPE, eV","H, eV","TS, eV","G, eV","G-ZPE, eV","Dipole, D",Molecular volume,Diffusion cm2/s,path
16,[Cl-1].N#C[CH2],75.495,B3LYP,DEF2-TZVPP,2,-1,298.15,acetonitrile,-16119.71,-16119.68,1.01,-16120.69,-0.9800000000013824,6.58,6.749511000000001e-28,1.1598797717771256e-05,D:\Electrochemistry\Article_2\ORCA\Article_new\Chlorides\b3lyp\def2-tzvpp\chlorides_ad\NCCH2Cl_ad\out.txt
17,[Cl-1].O=C(OCC)[CH2],122.548,B3LYP,DEF2-TZVPP,2,-1,298.15,acetonitrile,-20877.96,-20877.94,1.24,-20879.18,-1.2200000000011642,12.68,1.0427499e-27,1.0033297549614686e-05,D:\Electrochemistry\Article_2\ORCA\Article_new\Chlorides\b3lyp\def2-tzvpp\chlorides_ad\ethylchloroacetate_ad\out.txt
18,Clc1c2ccccc2cc2ccccc12,212.676,B3LYP,DEF2-TZVPP,2,-1,298.15,acetonitrile,-27181.61,-27181.58,1.34,-27182.92,-1.3099999999976717,0.61,1.6654631e-27,8.58338789421687e-06,D:\Electrochemistry\Article_2\ORCA\Article_new\Chlorides\b3lyp\def2-tzvpp\chlorides_ad\AnCl_ad\out.txt
19,ClC1=C[CH]C=[N]=C1,113.544,B3LYP,DEF2-TZVPP,2,-1,298.15,acetonitrile,-19260.12,-19260.1,1.04,-19261.13,-1.0100000000020373,3.8,8.837169e-28,1.0602282146977271e-05,D:\Electrochemistry\Article_2\ORCA\Article_new\Chlorides\b3lyp\def2-tzvpp\chlorides_ad\chlorpyridine_ad\out.txt
20,Clc1cccc2ccccc12,162.616,B3LYP,DEF2-TZVPP,2,-1,298.15,acetonitrile,-23002.37,-23002.35,1.19,-23003.54,-1.1700000000018917,0.68,1.2956868e-27,9.332623222501639e-06,D:\Electrochemistry\Article_2\ORCA\Article_new\Chlorides\b3lyp\def2-tzvpp\chlorides_ad\cloronapthtalene\out.txt
21,ClC1=C[CH]C=[N]=C1,113.544,B3LYP,DEF2-TZVPP,1,0,298.15,acetonitrile,-19258.37,-19258.35,0.98,-19259.33,-0.9600000000027649,2.87,8.742851000000001e-28,1.0640271718533287e-05,D:\Electrochemistry\Article_2\ORCA\Article_new\Chlorides\b3lyp\def2-tzvpp\chlorides_mol\chlorpyridine\out.txt
22,Clc1ccc(C(F)(F)F)cc1,180.554,B3LYP,DEF2-TZVPP,1,0,298.15,acetonitrile,-27993.75,-27993.73,1.23,-27994.96,-1.2099999999991269,1.5,1.2051441000000001e-27,9.5607233431458e-06,D:\Electrochemistry\Article_2\ORCA\Article_new\Chlorides\b3lyp\def2-tzvpp\chlorides_mol\F3CBnCl\out.txt
23,Clc1ccc(C#N)cc1,137.566,B3LYP,DEF2-TZVPP,1,0,298.15,acetonitrile,-21331.59,-21331.56,1.1,-21332.66,-1.069999999999709,4.17,1.0854547000000001e-27,9.89995399486862e-06,D:\Electrochemistry\Article_2\ORCA\Article_new\Chlorides\b3lyp\def2-tzvpp\chlorides_mol\NCPhCl\out.txt
24,ClC(Cl)(Cl)Cl,153.811,B3LYP,DEF2-TZVPP,1,0,298.15,acetonitrile,-51122.55,-51122.52,1.03,-51123.55,-1.0,0.01,8.749619e-28,1.0637527525333395e-05,D:\Electrochemistry\Article_2\ORCA\Article_new\Chlorides\b3lyp\def2-tzvpp\chlorides_mol\CCl4\out.txt
25,ClCc1ccccc1,126.583,B3LYP,DEF2-TZVPP,1,0,298.15,acetonitrile,-19890.42,-19890.39,1.08,-19891.48,-1.0600000000013097,2.9,1.0564553000000001e-27,9.989721224072725e-06,D:\Electrochemistry\Article_2\ORCA\Article_new\Chlorides\b3lyp\def2-tzvpp\chlorides_mol\BnCl\out.txt
26,ClC(Cl)Cl,119.369,B3LYP,DEF2-TZVPP,1,0,298.15,acetonitrile,-38617.36,-38617.34,0.95,-38618.28,-0.9199999999982538,1.54,7.2820470000000005e-28,1.1308871041600534e-05,D:\Electrochemistry\Article_2\ORCA\Article_new\Chlorides\b3lyp\def2-tzvpp\chlorides_mol\CHCl3\out.txt
27,ClCC#N,75.495,B3LYP,DEF2-TZVPP,1,0,298.15,acetonitrile,-16116.15,-16116.13,0.88,-16117.01,-0.8600000000005821,4.35,5.971657000000001e-28,1.2081998922676722e-05,D:\Electrochemistry\Article_2\ORCA\Article_new\Chlorides\b3lyp\def2-tzvpp\chlorides_mol\NCCH2Cl\out.txt
28,ClCC(=O)OCC,122.548,B3LYP,DEF2-TZVPP,1,0,298.15,acetonitrile,-20874.67,-20874.65,1.15,-20875.8,-1.1300000000010186,4.79,9.646481000000002e-28,1.029708046561171e-05,D:\Electrochemistry\Article_2\ORCA\Article_new\Chlorides\b3lyp\def2-tzvpp\chlorides_mol\ethylchloroacetate\out.txt
29,Clc1c2ccccc2cc2ccccc12,212.676,B3LYP,DEF2-TZVPP,1,0,298.15,acetonitrile,-27179.09,-27179.06,1.31,-27180.37,-1.2799999999988358,2.41,1.6585365e-27,8.595320325802208e-06,D:\Electrochemistry\Article_2\ORCA\Article_new\Chlorides\b3lyp\def2-tzvpp\chlorides_mol\AnCl\out.txt
30,Clc1cccc2ccccc12,162.616,B3LYP,DEF2-TZVPP,1,0,298.15,acetonitrile,-23000.42,-23000.4,1.15,-23001.55,-1.1300000000010186,2.36,1.2870648000000001e-27,9.353416494094657e-06,D:\Electrochemistry\Article_2\ORCA\Article_new\Chlorides\b3lyp\def2-tzvpp\chlorides_mol\cloronapthtalene\out.txt
31,FC(F)(F)C1=CC=[C]C=C1,145.104,B3LYP,DEF2-TZVPP,2,0,298.15,acetonitrile,-15469.72,-15469.7,1.16,-15470.86,-1.140000000001237,2.37,1.0463061e-27,1.0021917542385426e-05,D:\Electrochemistry\Article_2\ORCA\Article_new\Chlorides\b3lyp\def2-tzvpp\chlorides_rad\F3CBnCl_rad\out.txt
32,N#CC1=CC=[C]C=C1,102.116,B3LYP,DEF2-TZVPP,2,0,298.15,acetonitrile,-8807.56,-8807.54,1.03,-8808.56,-1.0,4.92,9.267612e-28,1.0435528852862182e-05,D:\Electrochemistry\Article_2\ORCA\Article_new\Chlorides\b3lyp\def2-tzvpp\chlorides_rad\NCPhCl_rad\out.txt
33,Cl[C](Cl)Cl,118.361,B3LYP,DEF2-TZVPP,2,0,298.15,acetonitrile,-38599.86,-38599.84,0.96,-38600.8,-0.9400000000023283,0.21,7.068063e-28,1.142186283182011e-05,D:\Electrochemistry\Article_2\ORCA\Article_new\Chlorides\b3lyp\def2-tzvpp\chlorides_rad\CCl4_rad\out.txt
34,[CH2]c1ccccc1,91.133,B3LYP,DEF2-TZVPP,2,0,298.15,acetonitrile,-7367.46,-7367.43,0.99,-7368.42,-0.9600000000000364,0.15,8.915615000000002e-28,1.0571094994345836e-05,D:\Electrochemistry\Article_2\ORCA\Article_new\Chlorides\b3lyp\def2-tzvpp\chlorides_rad\BnCl_rad\out.txt
35,Cl[CH]Cl,83.919,B3LYP,DEF2-TZVPP,2,0,298.15,acetonitrile,-26094.35,-26094.33,0.87,-26095.2,-0.8500000000021828,1.2,5.616092000000001e-28,1.2331777296579676e-05,D:\Electrochemistry\Article_2\ORCA\Article_new\Chlorides\b3lyp\def2-tzvpp\chlorides_rad\CHCl3_rad\out.txt
36,N#C[CH2],40.045,B3LYP,DEF2-TZVPP,2,0,298.15,acetonitrile,-3593.29,-3593.26,0.78,-3594.05,-0.7600000000002183,4.67,4.324302e-28,1.3454422830401684e-05,D:\Electrochemistry\Article_2\ORCA\Article_new\Chlorides\b3lyp\def2-tzvpp\chlorides_rad\NCCH2Cl_rad\out.txt
37,O=C(OCC)[CH2],87.098,B3LYP,DEF2-TZVPP,2,0,298.15,acetonitrile,-8351.54,-8351.51,1.06,-8352.57,-1.0299999999988358,2.61,7.957410000000001e-28,1.0979430967862303e-05,D:\Electrochemistry\Article_2\ORCA\Article_new\Chlorides\b3lyp\def2-tzvpp\chlorides_rad\ethylchloroacetate_rad\out.txt
38,c1ccc2c(c1)[C]=c1c(=C2)cccc1,177.226,B3LYP,DEF2-TZVPP,2,0,298.15,acetonitrile,-14655.08,-14655.05,1.24,-14656.29,-1.2100000000009459,1.24,1.5109863000000002e-27,8.86645951484786e-06,D:\Electrochemistry\Article_2\ORCA\Article_new\Chlorides\b3lyp\def2-tzvpp\chlorides_rad\AnCl_rad\out.txt
39,[N]1=C[CH]C=[C]C=1,78.094,B3LYP,DEF2-TZVPP,2,0,298.15,acetonitrile,-6734.36,-6734.33,0.9,-6735.23,-0.8699999999998909,2.72,7.168639e-28,1.1368194813910252e-05,D:\Electrochemistry\Article_2\ORCA\Article_new\Chlorides\b3lyp\def2-tzvpp\chlorides_rad\chlorpyridine_rad\out.txt
40,[Cl],35.450,B3LYP,DEF2-TZVPP,2,0,298.15,acetonitrile,-12520.01,-12519.98,0.49,-12520.48,-0.46999999999934516,0.0,2.61784e-28,1.5904598536946116e-05,D:\Electrochemistry\Article_2\ORCA\Article_new\Chlorides\b3lyp\def2-tzvpp\chlorides_rad\Cl\out.txt
41,C1=CC=[C]c2c1cccc2,127.166,B3LYP,DEF2-TZVPP,2,0,298.15,acetonitrile,-10476.4,-10476.37,1.08,-10477.45,-1.0500000000010914,1.28,1.1357124e-27,9.751713985237381e-06,D:\Electrochemistry\Article_2\ORCA\Article_new\Chlorides\b3lyp\def2-tzvpp\chlorides_rad\cloronapthtalene\out.txt
